Sentiment,Tweet
negative,@JetBlue 290 to Boston
negative,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
negative,@united trying to reach him for the number. At last they have him on standbye and gave him 1 meal voucher for a potential 2 day standbye!
negative,@united lol too little too Late Flight
neutral,@VirginAmerica what happened to Doom?!
negative,"@AmericanAir I tried when I landed, but there was no-one there.  I've emailed your customer service twice now who don't seem to care."
positive,@AmericanAir ok no worries. Thanks for the straight story. It's appreciated.
negative,@united how do you log out of wifi in flight? Don't see any option and made typo when logging in. HELP!!
positive,"@USAirways 
Good news, we got fixed."
positive,@JetBlue Then en route to the airport the rebooked ticket was refunded.
negative,@AmericanAir flight Cancelled Flightled and was trying to reschedule but 800 number just says to call back
negative,"@SouthwestAir I keep getting disconnected after choosing the option ""unused travel funds"" on your automated customer service line! SOS"
negative,@JetBlue How is it possible the only way to contact your fraud department is mailing a physical letter? No telephone? No email? REALLY??
neutral,@USAirways I'm on flight 623 from DIA to Ontario tomorrow morning. no access to the airport via taxi or shuttle. What should I do?
negative,@AmericanAir any idea on what the wait time is for refunds from @USAirways? I was told a few days over the phone - but it's well past that.
negative,@JetBlue @KyleJudah new stroller. The travel credit doesn't help cover the cost of a new stroller. Your crew ruined it and therefore should
neutral,@AmericanAir OK I will call them likely tmrw UK time to question the process getting the change charge reversed due to a bereavement
negative,@USAirways they call weather an act of God and refuse to help. I have my wife and 3 kids and they have no sympathy.
neutral,@united have all 747-400s been updated with power outlets and seat-back TVs yet? Flying ORD to Tokyo-Narita on the 28th
negative,@SouthwestAir- is new #MKT strategy to be average like all the rest? #whathappend? RR Points Devalued- AGAIN -http://t.co/mDbDYomrs7
negative,@AmericanAir Please explain why it costs almost the same price of a full roundtrip fair to only change the departure time of a flight?
negative,@JetBlue Got flight reschedule to flight form PIT to FLL and our flight had mechanical problems so we were delayed an hour Missed my connect
negative,"@united #customerservice at @Dulles_Airport could not be worse. I get the bad weather, but this is awful."
positive,@SouthwestAir Travel agent Darrel here at Love Field hosting a paper airplane contest to entertain all the children was so awesome to see!
negative,@SouthwestAir needed my flight info so I can add my rapid rewards to my flight ... First time I have flown with SW - won't do it again #mad
negative,@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over
positive,@JetBlue oh. And thank you for responding
positive,"@USAirways thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed..."
negative,"@JetBlue, thanks for not guarantee that you can not deli ever my bags to my hotel, when bag missed connection. #sFO #customerservicenot"
negative,"@usairways when trying to check-in online, it says to call...now I've been on hold for 2 hours...what to do?"
negative,@SouthwestAir i sure hope you are able to get my bag to Memphis for tomorrow.would be nice to have some clean clothes for work.
negative,@SouthwestAir you know I you but trying my patience - had easier cheaper ways from TPA to PDX but stuck w u. Turned my 3 hrs in MCI to 6
negative,@AmericanAir we did check before going to de airport and everything was fine. #fail
neutral,@JetBlue I have a reservation for tomorrow morning but trying to get back 2 night bc other flight was going to jfk. Can I get on list at CTG
negative,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..
negative,@SouthwestAir weather where? And at what time Cancelled Flighted? No I can't because meeting was today.
positive,@JetBlue @EllaHenderson omg!  Wish I had a flight today!  Haha there's always next time!  Have fun at #LFT5
neutral,@United can you help me get from IAH to SFO earlier tonight?
negative,@SouthwestAir ridiculous how you want to charge me $209 to change flights even with multiple seats available on the flight I needed
neutral,"@USAirways: Reminder: From 2/28, well be tweeting from @AmericanAir. You should join us: http://t.co/WBMHRl3bvl"
negative,@AmericanAir you've got to be kidding. Look at the pictures.  I'm hoping it's on the flight that just came in. The whole story is 2 much
positive,@southwestair Amazing view on the approach to LAX tonight. http://t.co/a68d5fULmH
positive,"@JetBlue flight attendant Wendi on Flt 127 on 2/17, Newark to Orlando.  "
negative,@AmericanAir I tried that &amp; they have been disrespectful not professional &amp; my 2nd flight been Cancelled Flighted I have to get home for a surgeryHELP
positive,"@AmericanAir Thanks. Having issues checking in for flight, please check our DM convo for more info."
positive,"@USAirways YOU ARE AMAZING!!! FOLLOW ME BACK, PLEASE!!!"
neutral,@united hey! think someone could meet me with my book when I arrive at @loganairports at 10:30? It's yes please #amypoehler. Oscar took it.
neutral,@USAirways : Maybe You Should Drive #usairwaysfail
negative,"@united passengers seated, crew ready #WheresThePilot? Flt1088 from ORD. Hope he isn't at the bar."
negative,@SouthwestAir Im just praying you get me home alive
neutral,@SouthwestAir CEO using #Vegas band to help connect to people. http://t.co/89gKYuf1Qh  #aviation #business #marketing #consumermarketing
neutral,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Nassau News Live http://t.co/7E5bxwG16t
negative,@SouthwestAir Any plans to make the southwest app for Android not crappy?
neutral,@SouthwestAir Are we sure flights will not be Cancelled Flighted after 1200 I am trying to make plans in STL
negative,@united had a different fiasco on my outward trip and was rebooked on to qantas lax-Syd. No FF miles show up in my account for that :(
negative,@united I'm constantly having challenges with upgrades &amp; charges. In order to prevent DVT I have to pay an addtl $180 http://t.co/xC6jQ70r7B
neutral,@USAirways where is your email address? Its not on this page: http://t.co/5cwH1yfOow
neutral,"@United just played the Most bizarre ""safety"" video I've ever seen... http://t.co/Hlm2Oks6xl"
negative,Spend 1 HOUR on hold with @USAirways .
negative,@USAirways It was US 893. The gate was open after about 50 mins waiting. What a great way to finish an 18 hour delayed arrival!!
neutral,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?
neutral,"@SouthwestAir my flight at BWI is delayed and I will miss my flight in Denver, is there a way to find out if they will hold the plane?"
negative,@AmericanAir terror story my luggage was delayed both ways on an international flight for over 5 days total #angrycustomer
negative,@SouthwestAir Why doesn't mean TSA PreCheck show up on my mobile boarding pass? My KTN is linked to my account.
negative,"@USAirways Houston hub Aa T. Employee the bag is not here, It made it to Pa before me! Oops not your problem http://t.co/Uld0hWFkfo"
negative,@USAirways @AmericanAir just be prepared for a claim if that bag is lost ... Too many valuables to carry in my hands. #us2146 to #aa2924
negative,@USAirways Flight Booking Problems a flight using credit from a previously Cancelled Flightled flight. Can't get thru on the phone and can't book online. Help please.
neutral,@SouthwestAir sending now via dm
negative,"@AmericanAir leave us stranded, send baggage with important medication to different city for 4days&amp;apologise with a $50 voucher. appalling."
negative,@united flt. 4567 departure time has changed five times in the last 20 minutes. Why don't you figure out a solution and announce once?
negative,"@USAirways I made the change online, but couldn't check-in online, so had to call (3 hrs on hold btw). Shouldn't have been charged $25"
negative,nope. RT @JetBlue: Our fleet's on fleek. http://t.co/9SHhTvIOTI
negative,@USAirways just Cancelled Flighted my flight and told me to call to rebook. Been on hold for 48 minutes at 4 am and still waiting
neutral,@JetBlue lord...
positive,@SouthwestAir oh I see what you did there! Thanks for supporting #PadresST.
neutral,@united whats UA 1205 lax - newark ??
positive,@AmericanAir awesome flight this morning on AA3230! Awesome crew and even landed early!
positive,@JetBlue thanks for the upgrade!! so far so good. #KeepItUp http://t.co/BKmfeY7QOL
neutral,@united I live abroad and am Flight Booking Problems flights for when I come visit the states :(
positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
negative,@USAirways and I can't get through on any phones
neutral,@SouthwestAir My GF lost the promise ring I gave her on flight 2707 2/21/2015 SFO&gt;SNA. It's an infinity silver band ring. Please help!
negative,@USAirways I was on hold for 2 hours and still no answer. Is this really how you run your business? http://t.co/P8xFhq4kps
neutral,@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU@tori_leggieri
neutral,@SouthwestAir I have a few questions about flying with my Maltese puppy. Can you DM me?
negative,"@AmericanAir I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned."
negative,@AmericanAir especially during a death in the family and still no solution. 96 hours and counting...Thanks
negative,@AmericanAir you have the worst reps at Jacksonville airport. So rude and totally not helpful at all!
positive,@AmericanAir great job TYR ground crew...now let's get this bird outta here!!!  Tell flight 3200 to wait on me...be there in 45 mikes!
negative,"@united Waiting for 3494 EWR-ORD, delayed 47 mins. Might miss 5491 ORD-YWG at 6pm CT. Any room on 5644 ORD-YWG in case I miss connex?"
negative,@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!
positive,@SouthwestAir much respect!
neutral,"@united @scotthroth scott, need a good book suggestion?"
negative,@AmericanAir AA45 ... JFK to LAS.
negative,@jetblue I missed a goal On @NHLonNBCSports because of your Inept male stewardess. I should have landed already but I havent taken off yet.
negative,"@USAirways figure it out, have had 2 Cancelled Flightled flights in the past week. Now coming home 2 hour delay, and cart that pulls plane just broke"
negative,@USAirways another fiasco at National. Forever from jet to gate on 8:05am flight from RDU
negative,@united you should spend all of the money you take for our tickets and update your planes! Each flight has a maintenance issue!!!
negative,@united Apart from being on hold for over 2 hours and having talked to 5 people and the problem still not resolved!
negative,@AmericanAir still on hold. After you hung up on me the first time (another 45 minutes!) http://t.co/IMRLAu77iH
neutral,@JetBlue hey me and my family have questions on a trip to Disney world that we are doing in April . Please follow me so I could dm you guys
neutral,@JetBlue are there any food places open at the JFK T5 24//?
negative,@USAirways please secure the 'footrest' shelf' in business class on A330 airplanes!!! http://t.co/ZL4bVEXmcJ
neutral,@JetBlue Airways Corporation Price Target Update - Stafford Daily http://t.co/vQmdmZaFUJ
negative,"@USAirways My wife, sick 3yr-old-twins, and I have been waiting in line now for 2hrs to see an agent! Phone agent said nothing til Tuesday!"
neutral,@united thanks for the info I already knew...
negative,@USAirways would you consider honoring the original fare price if I were to try Flight Booking Problems the ticket again?
negative,@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?
negative,@united She  won't  be  at  my  wedding . This is an irreplaceable milestone. There's no reFlight Booking Problems. How can we be repaid for this?
neutral,@SouthwestAir I cannot DM you as you do not follow me.
negative,@USAirways What's the point of a baggage claim ticket if they don't scan it  for tracking?
negative,"@united #vegan meals can be more creative than noodles, peas, and zukes. Non-vegan yogurt is not acceptable for a vegan. Can you do better?"
negative,@SouthwestAir suggestion- shades on the windows @KCIAirport so travelers won't have to watch ur luggage handlers throwing their bags around
negative,"@AmericanAir again, no special meal catered for me in F JFK-LAX. thankfully i'm on qantas the rest of way-i fear what youd NOT cater on that"
negative,@USAirways I paid for my seat.  I expect to be able to use my full seat
neutral,@AmericanAir I need some help. My record locator is bringing up TWO different flights in your system. One op by AA &amp; one from US Airways.
negative,"@AmericanAir Understood. Integration takes time, but no excuse for poor customer service"
negative,@SouthwestAir I lost my luggage. My birthday wish is to find my luggage.
negative,@USAirways I love how just to give feedback to this link I have to fill out all my personal info on a form.  You guys are the best :)
positive,"@united Aw, thanks for the kind words. Totally makes these extra 6 hours sitting in an airport SOOOO much better."
positive,@VirginAmerica Thank you!!
negative,"@AmericanAir this is pathetic customer service. Why have bag tags, barcodes and computers if your response is, ""not yet located""?"
neutral,@JetBlue: Our fleet's on fleek. http://t.co/we7Pf5Ll1Y lol!!!!!
neutral,@united I've filed the claim but have no way of calling for updates. Is there another way to do this?
neutral, When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.
negative,@AmericanAir pretty frustrating when you can't even stay on hold to get help after a flight Cancelled Flightation!
negative,@SouthwestAir huge problem with someone whose ticket was Cancelled Flighted mid trip. Can you DM?
negative,@USAirways @AmericanAir we are missing our connection due to delay out of LAS. What are we supposed to do now?
negative,@JetBlue Flight 136 departs 2:14 AM  Finally!!!  Arrived JFK with no psgrs at 5:39 PM.  That's a long flight. AKA BUS http://t.co/KfKjF1ZtGi
negative,@USAirways been on hold for 39 minutes and counting for a month old change fee refund request for a funeral.  This is pathetic.
negative,"@JetBlue it seems I never received an ID, just a password."
negative,@united I keep getting kicked to an error message when trying to purchase a flight on http://t.co/p3N2w8JfpS. Have tried at least 4x.
negative,@AmericanAir i will be writing a very detailed letter to you all about this experience today. I have never experienced such awful cs ever
negative,@SouthwestAir 3 + hrs w/out bags being returned to us after flight 2464 Cancelled Flightled. Maybe put a couple people on it?
negative,"@AmericanAir I tried to check in, but they redirect me to call in to @USAirways, which I also can't get into contact with"
neutral,"More like BaeJet Airways, amirite?

@JetBlue: @terrybrokebad Right back at ya!"
positive,@USAirways thanks! It's hectic for everyone but their actions don't represent the company well IMO
negative,@USAirways Ya'll need to work on your online checkout system. Two bank transactions for one ticket is bush league. Yell at your devs.
positive,@USAirways that's why u guys are my #1 choice.
positive,"@JetBlue I like "" Follow @JetBlue """
neutral,"@SouthwestAir boarding passes now compatible with #iPhone #Passbook 
http://t.co/1ESmMnIZEk"
neutral,"@AmericanAir is there any way to manually add gift cards to an ex-EU ticket( AA metal on long haul,BA for intra-EU)?"
neutral,"@JetBlue Domestic.  To be clear -- I do not have to sit in (your lovely) terminal, just need to be there 1 hour prior to boarding?  Thanks!"
positive,@JetBlue well lucky I only fly JB..I guess I would be even more squished on any other airline 
neutral,"@united no worries, I think its under control. (the emails are keeping me informed)"
positive,@united thanks for listening! I definitely was not the only person in line who thought it was absurd.
neutral,@VirginAmerica Really? Sprint? I thought you guys were 'kewl'! 0_0
negative,@AmericanAir Stuck on the plane in Charlotte.  Going to miss my connection.  No words from staff. Maybe some damn pretzels?
negative,"@USAirways disappointed with your toll free number. Terrible customer service, my flight has been Cancelled Flightled would like to get home"
positive,@USAirways thanks to Betty working gate at ILM and lovely gate agents here in CLT helping me get home 2 Phx tonight instead of tomorrow
negative,"@USAirways @MarciaVeronicaa she missed her uncle's funeral, and you ""hope"" they can find another flight. That's very considerate of you."
neutral,@AmericanAir #oaaret is our flight Cancelled Flightled?
negative,@SouthwestAir thanks for the response - flight time has passed - rebooked now
positive,"@united Great, thank you!"
negative,@JetBlue you wanna help out? How about you reimburse the money you cause my band to lose.
negative,@united there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.
positive,@southwestair #netneutrality Nice to see you prioritize Internet traffic to your own streaming service over other web sites!
negative,@AmericanAir Now you've Cancelled Flightled my flight. First a priority ticket bumped and now this. You're losing customers. People are furious.
negative,"@united tag numbers 0016 964012, 0016 964077, 0016 964078 - let's find these bags."
negative,@JetBlue appreciate the response Worst part is losing the non refundable hotel in Orlando. Your crew blamed wind! Hoping for no more delays!
positive,@AmericanAir but your flight crews &amp; ground crews have handled situation well. Texting notification let me catch a few winks during delay.
neutral,@AmericanAir its Adolfo Garcia
positive,@SouthwestAir seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!
positive,"@USAirways no worries, your flight attendant took care of it."
negative,@USAirways stop Cancelled Flighting flights over and over and not provide any real help to your customers. #strandedinnashville
positive,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!
negative,@USAirways Hooray! I've now been on hold for over an hour. I've never loved Southwest more.
negative,"@SouthwestAir you call this customer service?? Sitting in the tarmack for 1hr, lost bag, and you give me a $100. voucher???"
positive,@AmericanAir Flight attendant #YeseniaHernandez provided excellent service among peculiar conditions throughout the day  :-)
negative,@united either your staff or whoever you contract with at PVD is failing you big time tonight...
negative,@USAirways how are you even still in business? i have been trying to call for hours. this is pathetic.
neutral,"@united bet you wont honour them, like mine ey"
neutral,@AmericanAir I'm going to speak with customer service at the airport tomorrow morning and see what my options are. I need a flight tomorrow
neutral,@USAirways  Mad love http://t.co/4ojrSDWPkK NYC-
neutral,@USAirways please please please let my plane back to the gate so I can get off as I will miss connection due to CLT closing. 2034
negative,@AmericanAir @united just deplaned at O'Hare gate K13. Why don't you send a customer service rep to discuss my situation? God knows...
negative,@SouthwestAir would be great if I atleast was next to my husband who is flying in the same reservation
negative,"@AmericanAir To think that I'm a ""Priority Member""! Wonder how you treat the plebes. I know which rewards card I'm Cancelled Flightling immediately."
neutral,@SouthwestAir Please lower my plane flight by like $100 bucks!! Thanks~ #FloridaVacation
negative,"@AmericanAir that's the one. My original arrival time was 10:14am, after all said and done I may be there by 9:19pm central. Not impressed."
negative,@united I will not be flying you again
negative,@USAirways Yeah I know that...but now I'll have to spend almost 500 dollars more on my ticket since the price has gone up over the week
negative,@AmericanAir you could train your flight attendants to have some manners and decency
positive,@AmericanAir Thank you.....you do the same!!
positive,"@AmericanAir thanks for the recommendation. We've been sitting here for 45 minutes, last update was 35 min ago."
negative,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless
positive,@AmericanAir awesome. Thanks!
negative,@SouthwestAir there is a good chance myself nor anyone else in this airport will ever be Flight Booking Problems southwest again..
negative,"@AmericanAir There was no one from #AA at the #woase2015 event @HelsinkiAirport
Lots of info available of #winterops"
positive,@SouthwestAir Thanks for taking care of me Today!  Michele rocked the customer service! Gate 25 HOU
neutral,"@AmericanAir ""Thank you for contacting American. The email address you have written to is an unmonitored account"
neutral,@JetBlue when are you going to get wifi on your planes?
negative,@AmericanAir I don't know who that may be. I was also working from home. Thanks for nothing.
negative,"@SouthwestAir He is going to file a formal complaint, this should have never happened. Please direct us to the right department."
negative,@USAirways You suck in Philadelphia.  Let us off this plane! #phl
negative,@AmericanAir It just hangs up and your agents on the ground are useless. How don't I have a seat on a first class ticket booked weeks ago?
neutral,@SouthwestAir When are you going to be flying in and out of Nashville? The Deicer is in. Are you short on planes and is it tomorrow morning?
negative,@AmericanAir now on 5th plane of the day. First 4 all taken out of svc. Scheduled dep 3 p.m. Still on ground ORD 10:45pm
positive,@SouthwestAir best airline 
positive,@united thanks for leaving our 3 year old in his own row flight 360 LAX-IAD
negative,@JetBlue just learning about your famous apology in social media marketing. Is Twitter an asset for Jet Blue now? @PhD_Mama_
negative,"Too little, too Late Flight. You suck RT @USAirways: @mitchsunderland Oh no, Mitchell. Our agents are happy to offer you available options."
negative,@JetBlue why is my flight delayed 2.5 hours. This is insane. Every other flight has made it to NYC.
negative,@USAirways of course never again tho . Thanks for tweetin ur concern but not Doin anythin to fix what happened. I'll choose wiser next time
positive,"@united flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
negative,"@AmericanAir spent $8 for the choppiest feed of ""Whiplash"" ever. #americanairlinesfail #iwantmymoneyback"
negative,@united not sure why the people in row 7 that paid for a premium seat can't use their overhead space... http://t.co/i9s86KiHge
negative,@AmericanAir that's the number I called -it wouldn't let me speak to an agent because of the issues with weather today
negative,@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags
neutral,"@USAirways  I just reserved a flight with my companion certificate, where do I mail the certificate for verification???? THX!!!"
negative,"@USAirways us2118
My wife in Boston says no snow right now."
neutral,@SouthwestAir is hiring for their Emerging Leader Development Program- Last day to apply is TODAY! Apply here: http://t.co/jLHM0x7UkB
negative,@united this may be the last time I fly your airline.
negative,@AmericanAir thanks for being entirely unhelpful and wasting hours of my time today
neutral,@JetBlue the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch
negative,@AmericanAir keep trying to call to change reservation and you keep hanging up on me
negative,@USAirways @AmericanAir terminal E in Miami is still the worst most smelly airport ever. Thanks for nothing.
negative,@USAirways it was your fault the flight was delayed to begin with. I shouldn't have to check my bag if there's a bunch of space
positive,@VirginAmerica Congrats VX on the new route! 
neutral,@AmericanAir can you tell me why flight 1542 from dfw to phl was Cancelled Flightled for tomorrow?
neutral,@AmericanAir 235.  We made it to Seattle...
negative,@USAirways if I try and call your reservations line will someone answer the phone now or will I be on hold for an hour again?
negative,@united what's the hold up with flight 6475 from SLC to DEN??
negative,"@united Yes, myself and about 200 other people also."
negative,@USAirways I can't wait for the @nytimes and @WSJ to find out how poorly @USAirways handled this situation. #shameful http://t.co/HHOxQPsUbA
positive,@united Cool. Thank you.
positive,@USAirways 603 &amp; 2705 DFW to PSP thank you!
negative,"@SouthwestAir no, thanks. I think we have it straight!"
negative,"@SouthwestAir that's gotta be a new record: 4 hrs in the air, 11 hrs waiting and 0 bags delivered to destination."
neutral,@AmericanAir she doesn't have Twitter.
negative,@united crashed trying to check in.
negative,@USAirways now U horrible people say you have no where for her to sleep?
negative,@SouthwestAir staff was overall awful through multiple airports would have switched airlines if another flight was available
negative,@AmericanAir Please try it yourself - call 1-800-433-7300 and see what happens... then you'll understand.  #allrepresentativesbusy #nooption
negative,"@USAirways ur ""response"" was: my ""inconvenience was of no matter."" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair"
negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ...  I want free internet
neutral,@JetBlue Airways Corporation Registers High Short Interest - Wall Street Pulse http://t.co/hXSnv7fbbh
positive,@united Sure did! Only waited about 15min. Yay!
negative,@JetBlue why would you hire a guy who doesn't care about the safety of children? Not remotely acceptable. http://t.co/lKFh9HYHW8
negative,@AmericanAir I need a flight out tonight. Isn't there anything else?
positive,"@united gave me a smile today, with a Zero Award... ;-) Computers have some sense of humour :-) http://t.co/JNqNbk7HuT"
negative,@JetBlue other jfk to Boston flights went off with some delay but not this.  #epicfail
negative,"@SouthwestAir Your wifi stinks. I'm not mad, but i wouldn't hate it if i got my money refunded."
negative,@united any chance you can troubleshoot check ins at @FlyYOW ? We're at 20 minutes per person.
negative,"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence."
negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
negative,@USAirways not impressed with your customer service. everyone has been unhelpful and incredibly rude.
neutral,"@SouthwestAir Is there any way to add a Known Traveler Number to an existing reservation online?  If not, why not?"
neutral,"@united on final. Pls don't let my connection leave!!!
Conf# NPBHD0 http://t.co/eWXwXiDTfX"
negative,@AmericanAir re-staff and commence new policies because your industry is so embarrassed by you.
positive,@AmericanAir @dfwairport you 2 together are the best part of flying!
neutral,@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c
neutral,"@united 374 ORD to ROC. Fam came to see me at SNA. I'm a member, so is my dad. He used his miles for them."
negative,"@USAirways the fact that you are making customers pay $15 to ""choose"" a seat and try to convince them using psychological tricks with colors"
neutral,"@united After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation.."
negative,@AmericanAir ticks me off.
negative,"@AmericanAir dm me your email address,  I will tell you my ordeal, then you tell me what you think is fair"
positive,@JetBlue last sleep in Cali... back to JFK tomorrow night.  Looking forward to an another amazing flight with you all :)
positive,@JetBlue thank you #loyalmosaicmember
negative,@united how come the crew traveling on the flight gets a better seat and I get stuck checking my bag and the crews bag got on the flight.
negative,@USAirways hour 4 at the gate.
negative,@JetBlue how do we watch the oscars though right now?! No abc on flight :( #missingtheoscars
negative,@AmericanAir this is the biggest joke I've ever seen and will be telling everyone never to use you guys cause you are a joke
negative,"@united - so they changed depart from 1:45 to 2:00pm &amp; it is now 1:40pm &amp; the Capt. just got off the plane to find a smoothie, 2pm my ass!!!"
negative,"C'mon, this is worse than JetBae. RT @JetBlue Our fleet's on fleek. https://t.co/yZXfe7au22"
negative,"@USAirways flt last nght Cancelled Flighted-mech.probs, flt this am Cancelled Flighted-snow, finally on a flt home. 1st cls empty &amp; they won't let me sit there"
negative,"@SouthwestAir hey remember that time you lost my husbands bags? I do. 

#filmjobnoequipment 
#nowarmclothes"
negative,@JetBlue #1691 out of JFK. no one has info &amp; no answers as to why we boarded the plane. the team is in an awkward spot &amp; everyone is cranky
negative,@nrhodes85: look! Another apology. DO NOT FLY @USAirways
neutral,@SouthwestAir need to Cancelled Flight a few more can you please check DM
positive,@JetBlue Thank you very much!
positive,@SouthwestAir has some of the best airfare prices! Gotta LUV them :)
negative,@USAirways Need help with a flight. Weather + funeral = tough combination. On hold for over an hour. Please?
positive,@SouthwestAir El Paso deals....May
positive,@united Got me home amid snow &amp; Cancelled Flightlations; delivered bag w/o hassle; plus no wait on phone &amp; an upgrade. Thank you!
negative,@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail
negative,"@USAirways It is the 2nd person when I called again to ask, could not catch her name, rejected the request"
negative,"@USAirways Your customer service is  non-existent/ terrible. Dozens waiting for bags not placed on our flight, no staff anywhere #neveragain"
negative,@united seriously? 2-4 hrs to get bags from IAD intl arvls to carousel 2 for custs w/Cancelled Flightled connects? I understand irrops but ridiculous!
negative,"@USAirways to CLT from JFK nasty planes, dirty seats &amp; floors, rude flight attendants- hopefully AA can get you cleaned up #disgusting #vile"
neutral,@AmericanAir we have 8 ppl so we need 2 know how many seats are on the next flight. Plz put us on standby for 4 people on the next flight?
positive,@USAirways how about a drink voucher for the next flight?? #winkwink
negative,@united cabin pressurization issues are pretty serious. Flight 1109 landed in Washington because of it. My head is pounding.
negative,@USAirways Don't blame it on weather. Rep at counter cost me entire day - not weather.  Printed Boarding Pass too Late Flight. #TakeResponsibility
negative,@AmericanAir You don't care about keeping your customers safe or at least you didn't care about my sister
negative,"@AmericanAir I need help with a reservation purchased on @AmericanAir but operated on @USAirways, can't get through on the 800#"
negative,"@united I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board."
neutral,@united what is your plan to reduce delays?
positive,@AmericanAir He thanks you. Anything you can do to help. Would any further information help in the process?
negative,@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?
negative,@SouthwestAir they were moved to the 210pm flight #4649. Main concern now is luggage arriving with them. They were told that SW was having
negative,@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?
negative,@united i will just send my confirmation number when I get home safe and sound. This is why i pay so expensive services to you!
negative,@USAirways depart from where? It departed PHX and was due to land at DCA around 8pm.
negative,@AmericanAir I get &amp; can appreciate that. I've just had so many problems in the last year flying with guys... Pretty aggravating.
negative,"@AmericanAir even when I did get through, no one knew anything about my bag. This is ridiculous, I still don't have my bag from Saturday."
positive,@USAirways I miss you too. Work has taken me out of Philly. Ive been on flight 1776 from BOS &gt; PHL so many times I should have a res. seat
negative,@AmericanAir gah this is so frustrating! Nobody has my address here in the USA. Where are my bags!?!? So disorganised!!!!!!!!!!!
positive,"@SouthwestAir - total win!! Happy 7th bday on intercom, chocoLate Flight kisses, and a chance to hand out snacks.Thank you. http://t.co/NKloZcNtto"
positive,@USAirways FYI your customer service rep Carol is an absolute delight. So pleasant to with with and rebooked me in lightning speed! Thanks!
negative,@united ^GJ flight 1101 didn't have wifi even though it was promised to by your ground crew. #AnotherDisappointment
negative,"@AmericanAir , I was told my flights 2516 &amp; 2244 was Cancelled Flightled. But I don't seem to have any date/time changes. I've been waiting for a call"
negative,"@USAirways worst customer service. ticket was 180 and fee is 200 it's ""not worth it"" for them accommodate me given circumstances in BOS"
negative,"@JetBlue it's been 3 hours, why have you not sent the plane from the hangar for flight 1533 at JFK? This is absolutely ridiculous."
negative,@USAirways your phone system is not working at all I have been bumped again so now I am at 3 times I need to get out of mco
negative,@USAirways  and now I'm going to miss my G'ma's Memorial because I didn't #FlyDelta.
neutral,"@united Hi again, any updates here?"
negative,@USAirways I keep missing my updated connections. Need to make it to #JAX to be in my friend's wedding! #strandedattheairport
positive,@JetBlue I do! The best airline wifi ever. Thank you!
negative,@united Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline
positive,@JetBlue thanks for the info... Figured that was the case. Hopefully my new hashtag will change that ;) #ABCLetJetBlueStreamFeed
positive,@USAirways @AmericanAir Can you bring guinea pigs in small pet carrier onboard your flights?
negative,@united feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL
negative,@AmericanAir it's taken care of already. I've come to expect this level of horrible service from you time and time again
